INFO  | 2021-05-16 11:29:43 - старт сервера
INFO  | 2021-05-16 11:29:43 - добавлены команды
INFO  | 2021-05-16 11:29:43 - путь установлен как стандартный
INFO  | 2021-05-16 11:29:43 - создан сервер
INFO  | 2021-05-18 06:52:40 - старт сервера
INFO  | 2021-05-18 06:52:40 - добавлены команды
INFO  | 2021-05-18 06:52:40 - путь установлен как стандартный
INFO  | 2021-05-18 06:52:40 - создан сервер
INFO  | 2021-05-18 07:15:57 - старт сервера
INFO  | 2021-05-18 07:15:57 - добавлены команды
INFO  | 2021-05-18 07:15:57 - путь установлен как стандартный
INFO  | 2021-05-18 07:15:57 - создан сервер
INFO  | 2021-05-18 07:17:07 - старт сервера
INFO  | 2021-05-18 07:17:07 - добавлены команды
INFO  | 2021-05-18 07:17:07 - путь установлен как стандартный
INFO  | 2021-05-18 07:17:07 - создан сервер
INFO  | 2021-06-01 10:53:25 - старт сервера
INFO  | 2021-06-01 10:53:25 - добавлены команды
INFO  | 2021-06-01 10:53:25 - путь установлен как стандартный
INFO  | 2021-06-01 10:53:25 - создан сервер
INFO  | 2021-06-01 10:53:52 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 10:53:52 - null
INFO  | 2021-06-01 10:54:20 - старт сервера
INFO  | 2021-06-01 10:54:20 - добавлены команды
INFO  | 2021-06-01 10:54:20 - путь установлен как стандартный
INFO  | 2021-06-01 10:54:20 - создан сервер
INFO  | 2021-06-01 10:54:38 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 10:54:38 - null
INFO  | 2021-06-01 10:55:49 - старт сервера
INFO  | 2021-06-01 10:55:49 - добавлены команды
INFO  | 2021-06-01 10:55:49 - путь установлен как стандартный
INFO  | 2021-06-01 10:55:49 - создан сервер
INFO  | 2021-06-01 10:56:10 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 10:56:10 - null
INFO  | 2021-06-01 10:57:25 - старт сервера
INFO  | 2021-06-01 10:57:25 - добавлены команды
INFO  | 2021-06-01 10:57:25 - путь установлен как стандартный
INFO  | 2021-06-01 10:57:25 - создан сервер
INFO  | 2021-06-01 10:57:31 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 10:57:31 - null
INFO  | 2021-06-01 10:58:06 - старт сервера
INFO  | 2021-06-01 10:58:06 - добавлены команды
INFO  | 2021-06-01 10:58:06 - путь установлен как стандартный
INFO  | 2021-06-01 10:58:06 - создан сервер
INFO  | 2021-06-01 10:58:23 - старт сервера
INFO  | 2021-06-01 10:58:23 - добавлены команды
INFO  | 2021-06-01 10:58:23 - путь установлен как стандартный
INFO  | 2021-06-01 10:58:23 - создан сервер
INFO  | 2021-06-01 10:58:31 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 10:58:31 - null
INFO  | 2021-06-01 10:58:53 - старт сервера
INFO  | 2021-06-01 10:58:53 - добавлены команды
INFO  | 2021-06-01 10:58:53 - путь установлен как стандартный
INFO  | 2021-06-01 10:58:53 - создан сервер
INFO  | 2021-06-01 10:59:00 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 10:59:00 - null
INFO  | 2021-06-01 11:31:28 - старт сервера
INFO  | 2021-06-01 11:31:28 - добавлены команды
INFO  | 2021-06-01 11:31:28 - путь установлен как стандартный
INFO  | 2021-06-01 11:31:29 - создан сервер
INFO  | 2021-06-01 11:31:45 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:31:45 - null
INFO  | 2021-06-01 11:32:14 - старт сервера
INFO  | 2021-06-01 11:32:14 - добавлены команды
INFO  | 2021-06-01 11:32:14 - путь установлен как стандартный
INFO  | 2021-06-01 11:32:14 - создан сервер
INFO  | 2021-06-01 11:32:20 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:32:20 - null
INFO  | 2021-06-01 11:33:39 - старт сервера
INFO  | 2021-06-01 11:33:39 - добавлены команды
INFO  | 2021-06-01 11:33:39 - путь установлен как стандартный
INFO  | 2021-06-01 11:33:39 - создан сервер
INFO  | 2021-06-01 11:34:03 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:34:03 - null
INFO  | 2021-06-01 11:34:57 - старт сервера
INFO  | 2021-06-01 11:34:57 - добавлены команды
INFO  | 2021-06-01 11:34:57 - путь установлен как стандартный
INFO  | 2021-06-01 11:34:57 - создан сервер
INFO  | 2021-06-01 11:35:07 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:35:07 - null
INFO  | 2021-06-01 11:37:09 - старт сервера
INFO  | 2021-06-01 11:37:09 - добавлены команды
INFO  | 2021-06-01 11:37:09 - путь установлен как стандартный
INFO  | 2021-06-01 11:37:09 - создан сервер
INFO  | 2021-06-01 11:37:25 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:37:25 - null
INFO  | 2021-06-01 11:37:38 - старт сервера
INFO  | 2021-06-01 11:37:38 - добавлены команды
INFO  | 2021-06-01 11:37:38 - путь установлен как стандартный
INFO  | 2021-06-01 11:37:38 - создан сервер
INFO  | 2021-06-01 11:37:46 - старт сервера
INFO  | 2021-06-01 11:37:46 - добавлены команды
INFO  | 2021-06-01 11:37:46 - путь установлен как стандартный
INFO  | 2021-06-01 11:37:46 - создан сервер
INFO  | 2021-06-01 11:37:51 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:37:51 - null
INFO  | 2021-06-01 11:41:54 - старт сервера
INFO  | 2021-06-01 11:41:54 - добавлены команды
INFO  | 2021-06-01 11:41:54 - путь установлен как стандартный
INFO  | 2021-06-01 11:41:54 - создан сервер
INFO  | 2021-06-01 11:42:09 - старт сервера
INFO  | 2021-06-01 11:42:09 - добавлены команды
INFO  | 2021-06-01 11:42:09 - путь установлен как стандартный
INFO  | 2021-06-01 11:42:09 - создан сервер
INFO  | 2021-06-01 11:42:15 - старт сервера
INFO  | 2021-06-01 11:42:15 - добавлены команды
INFO  | 2021-06-01 11:42:15 - путь установлен как стандартный
INFO  | 2021-06-01 11:42:15 - создан сервер
INFO  | 2021-06-01 11:42:25 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:42:25 - null
INFO  | 2021-06-01 11:46:04 - старт сервера
INFO  | 2021-06-01 11:46:04 - добавлены команды
INFO  | 2021-06-01 11:46:04 - путь установлен как стандартный
INFO  | 2021-06-01 11:46:04 - создан сервер
INFO  | 2021-06-01 11:46:13 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:46:13 - null
INFO  | 2021-06-01 11:48:31 - старт сервера
INFO  | 2021-06-01 11:48:31 - добавлены команды
INFO  | 2021-06-01 11:48:31 - путь установлен как стандартный
INFO  | 2021-06-01 11:48:31 - создан сервер
INFO  | 2021-06-01 11:48:44 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:48:44 - null
INFO  | 2021-06-01 11:50:07 - старт сервера
INFO  | 2021-06-01 11:50:07 - добавлены команды
INFO  | 2021-06-01 11:50:07 - путь установлен как стандартный
INFO  | 2021-06-01 11:50:07 - создан сервер
INFO  | 2021-06-01 11:50:14 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:50:14 - null
INFO  | 2021-06-01 11:52:07 - старт сервера
INFO  | 2021-06-01 11:52:07 - добавлены команды
INFO  | 2021-06-01 11:52:07 - путь установлен как стандартный
INFO  | 2021-06-01 11:52:07 - создан сервер
INFO  | 2021-06-01 11:52:12 - принят клиент с ip: /192.168.5.1
ERROR | 2021-06-01 11:52:12 - null
INFO  | 2021-06-01 11:53:00 - старт сервера
INFO  | 2021-06-01 11:53:00 - добавлены команды
